CampaignID,CampaignName,Region,Industry,Spend,Impressions,Clicks,Conversions,Revenue,ROI
118,Billboards,North America,Tech,25995.38,71844,672,1253,64728.49620000001,1.49
119,Content Marketing,Africa,Retail,36446.83,735453,7182,1610,48474.2839,0.33
120,Influencer Marketing,Africa,Retail,6102.73,405395,5495,1900,11900.323499999999,1.5459643010554123
121,Content Marketing,South America,Healthcare,12046.5,709158,15507,1265,26984.160000000003,1.24
122,Influencer Marketing,Europe,Finance,35444.23,84601,18742,337,83648.3828,2.167789651354181
123,Email Marketing,North America,Healthcare,3587.39,935779,11194,1476,7246.5278,1.02
124,Radio Ads,Europe,Tech,24843.29,978078,750,61,31799.411200000002,0.28
125,Influencer Marketing,North America,Healthcare,30369.08,320001,5841,1919,40998.258,0.6264659354041893
126,Content Marketing,South America,Automotive,30505.14,397699,13381,1976,25624.3176,-0.16
127,Email Marketing,South America,Retail,2123.71,504700,6938,385,4438.5539,1.09
128,Social Media Ads,Africa,Retail,16783.29,292844,19071,272,14601.462300000001,-0.13
129,Search Engine Ads,Europe,Education,32188.04,792215,3362,276,73066.8508,1.27
130,Search Engine Ads,Oceania,Education,8300.99,442680,17822,368,8300.99,0.0
131,Search Engine Ads,Africa,Tech,35075.37,183423,5096,1350,38232.153300000005,0.09
132,Influencer Marketing,Europe,Automotive,37550.34,103330,11926,1357,60456.047399999996,1.1664017357064769
133,Social Media Ads,Africa,Finance,49116.49,235391,2927,1954,100688.80449999998,1.05
134,Influencer Marketing,Oceania,Healthcare,11282.26,223606,14311,1941,11733.5504,0.06359313931673692
135,Radio Ads,Asia,Tech,41431.4,417085,5332,1699,64218.670000000006,0.55
136,Influencer Marketing,Asia,Education,26494.53,201387,2317,1903,42921.1386,0.9468986858723664
137,Social Media Ads,Asia,Healthcare,19299.67,251133,14332,1911,22387.617199999997,0.16
138,Social Media Ads,Asia,Education,6996.46,496904,14126,661,6996.46,0.0
139,Radio Ads,North America,Healthcare,37039.77,424170,19445,1972,82228.2894,1.22
140,Social Media Ads,Asia,Finance,12557.02,696915,19710,1596,20719.083,0.65
141,Content Marketing,Oceania,Tech,19199.68,335497,13978,1662,15743.737599999999,-0.18
142,Social Media Ads,South America,Healthcare,4064.57,485406,6937,1454,8820.1169,1.17
143,Search Engine Ads,South America,Automotive,40266.98,448242,7131,55,99459.44060000002,1.47
144,Content Marketing,North America,Retail,38562.84,372916,14906,1854,70569.9972,0.83
145,Content Marketing,Asia,Automotive,36947.18,188048,3816,609,61332.3188,0.66
146,Radio Ads,Asia,Automotive,15672.73,363646,3514,729,35890.551699999996,1.29
147,TV Commercials,Asia,Retail,9500.52,386087,17932,1922,22991.2584,0.9703462888879909
148,TV Commercials,Africa,Automotive,32240.11,381994,670,1302,67059.42880000001,0.8587301509109457
149,Social Media Ads,Europe,Healthcare,25312.15,579383,19388,610,39486.954000000005,0.56
150,Content Marketing,Africa,Healthcare,9734.37,155342,13388,390,17619.209700000003,0.81
151,TV Commercials,Europe,Healthcare,34609.65,696268,18989,127,68873.2035,0.6435100729241736
152,TV Commercials,Asia,Retail,49565.2,811955,1017,1599,56008.67599999999,0.06998466193005493
153,Social Media Ads,Asia,Automotive,37613.76,72433,10166,1986,58677.4656,0.56
154,TV Commercials,Africa,Retail,37259.33,974572,7082,125,82343.1193,0.7138543594451956
155,Influencer Marketing,Africa,Healthcare,47565.32,554279,6436,1663,90849.7612,1.7530896125398536
156,Email Marketing,Europe,Automotive,10943.88,282919,18162,269,16415.82,0.5
157,Radio Ads,South America,Automotive,28711.95,481017,17099,1108,55414.0635,0.93
158,Email Marketing,Europe,Education,49002.69,357139,10041,1513,49002.69,0.0
159,Social Media Ads,Africa,Education,9099.41,988754,12480,314,13467.1268,0.48
160,Search Engine Ads,Oceania,Finance,35312.35,157745,19989,16,75921.55249999999,1.15
161,Radio Ads,Africa,Tech,29704.7,657096,11767,375,34754.498999999996,0.17
162,Social Media Ads,Oceania,Education,29737.48,692416,4629,1667,33305.977600000006,0.12
163,Content Marketing,North America,Retail,35185.86,147686,17619,532,85149.7812,1.42
164,Search Engine Ads,Africa,Education,46551.23,17415,12292,1381,53999.4268,0.16
165,Email Marketing,North America,Finance,39346.52,780326,8666,1471,48789.684799999995,0.24
166,Social Media Ads,South America,Automotive,3750.67,447100,7326,1248,9189.141500000002,1.45
167,Content Marketing,Europe,Finance,42783.67,944468,5262,438,87706.5235,1.05
168,Radio Ads,Oceania,Automotive,12051.53,965230,16690,800,23982.544700000002,0.99
169,Radio Ads,Europe,Automotive,19468.79,788493,1419,1531,43804.777500000004,1.25
170,Billboards,North America,Tech,23624.91,309188,1241,1573,23624.91,0.0
171,Content Marketing,Oceania,Education,24564.39,722509,4727,756,49128.78,1.0
172,Influencer Marketing,Europe,Retail,22323.84,178616,14601,376,37057.5744,1.1574780011748795
173,TV Commercials,Africa,Retail,46930.31,59976,2790,322,103715.98509999999,0.8307790268040763
174,Search Engine Ads,Asia,Healthcare,35594.93,435468,7423,547,59087.5838,0.66
175,Content Marketing,North America,Automotive,31927.36,275976,3355,930,59065.616,0.85
176,Billboards,Europe,Retail,3442.26,231883,5313,1087,5542.038600000001,0.61
177,TV Commercials,North America,Tech,45291.75,221509,4208,1574,72919.7175,0.4362792176535242
178,TV Commercials,North America,Automotive,45560.12,506965,19504,1500,96131.8532,0.7762250090796924
179,Social Media Ads,Oceania,Tech,39230.44,830580,18341,874,73360.92280000001,0.87
180,TV Commercials,Oceania,Retail,1344.43,988744,19273,1197,2527.5284,0.44504218862938366
181,Influencer Marketing,Asia,Retail,3806.73,773529,9902,791,5976.5661,1.0646113406749755
182,Radio Ads,Africa,Healthcare,12035.96,528823,11513,343,20461.131999999998,0.7
183,Billboards,North America,Retail,7436.12,229526,15095,1580,15392.768399999999,1.07
184,TV Commercials,Europe,Automotive,20542.97,908662,12683,807,45194.53400000001,0.7567053807075482
185,Social Media Ads,South America,Automotive,46208.53,357220,5121,357,91492.8894,0.98
186,Influencer Marketing,North America,Automotive,24130.96,980963,18871,282,57190.3752,2.6528887103950245
187,Email Marketing,North America,Healthcare,1656.73,834834,6682,972,3628.2387,1.19
188,Radio Ads,Asia,Healthcare,14854.54,723087,13555,729,26143.990400000002,0.76
189,Radio Ads,Africa,Retail,3185.15,48578,13217,1783,6179.191,0.94
190,Billboards,South America,Finance,2778.09,624741,19050,1447,6584.073300000001,1.37
191,Radio Ads,Oceania,Finance,14510.27,425534,17459,509,26843.9995,0.85
192,TV Commercials,Oceania,Healthcare,14505.0,872147,1362,1126,31911.000000000004,0.9536121819371813
193,Social Media Ads,Europe,Retail,39569.2,218859,7482,694,77951.324,0.97
194,Radio Ads,South America,Finance,48766.9,121435,3427,88,84854.406,0.74
195,Radio Ads,Oceania,Retail,19189.15,750389,18743,631,23218.8715,0.21
196,Email Marketing,Europe,Retail,22015.46,161538,10120,1250,33463.4992,0.52
197,Email Marketing,Africa,Retail,42394.68,892174,17741,956,103866.96600000001,1.45
198,Search Engine Ads,Europe,Education,14138.81,55475,16948,367,27146.515199999998,0.92
199,Influencer Marketing,Oceania,Automotive,8662.71,856574,14162,627,15246.369599999998,1.2482670359699257
200,TV Commercials,Asia,Retail,42801.39,750520,19778,516,102295.3221,1.00313399988073
201,Radio Ads,Asia,Education,3278.53,167636,6874,1592,5901.354,0.8
202,Content Marketing,Asia,Healthcare,31365.27,163484,15260,1214,53007.3063,0.69
203,Radio Ads,Oceania,Finance,28537.65,103526,1330,585,59643.6885,1.09
204,Social Media Ads,Asia,Automotive,17950.1,61001,9176,1279,36079.700999999994,1.01
205,Search Engine Ads,South America,Finance,16444.29,854081,3905,253,18582.0477,0.13
206,Influencer Marketing,Africa,Automotive,38821.03,202029,14815,515,62113.648,0.9225368730463528
207,Content Marketing,Europe,Finance,5234.81,438733,5850,431,8375.696000000002,0.6
208,Search Engine Ads,Europe,Automotive,12602.43,678516,15727,1353,18147.4992,0.44
209,Billboards,Oceania,Finance,36889.99,950568,13332,1120,61975.18319999999,0.68
210,Influencer Marketing,Asia,Finance,27867.71,559999,3235,226,41801.565,0.9841653261461702
211,Radio Ads,Asia,Finance,7271.42,564394,7053,1523,8289.4188,0.14
212,Radio Ads,North America,Finance,44224.65,861890,1646,1552,66336.975,0.5
213,Influencer Marketing,Africa,Healthcare,20278.94,944093,15557,1311,18656.6248,-0.13931419059931788
214,Radio Ads,South America,Retail,41565.55,492488,17578,1882,73986.679,0.78
215,TV Commercials,Europe,Tech,39597.94,402573,2511,1755,89095.365,0.8478011468040818
216,Influencer Marketing,North America,Education,31596.85,227583,19101,1018,64141.60549999999,1.7906798359673677
217,Search Engine Ads,North America,Tech,25229.58,373898,14213,1202,35573.707800000004,0.41
218,Influencer Marketing,Oceania,Tech,48997.99,148286,4245,339,46548.0905,-0.09389715948919541
219,Content Marketing,Europe,Automotive,8103.29,237189,2875,659,9237.7506,0.14
220,Radio Ads,Oceania,Retail,36532.63,136479,13293,1474,63201.44989999999,0.73
221,TV Commercials,South America,Automotive,10368.34,430343,12951,400,11923.590999999999,0.11242760840872904
222,TV Commercials,North America,Retail,17574.89,146213,13170,1529,30228.8108,0.46005107824272684
223,Billboards,North America,Retail,16126.24,563172,19639,390,19190.225599999998,0.19
224,Search Engine Ads,Africa,Finance,47404.76,274852,4070,1339,106186.66240000002,1.24
225,Email Marketing,South America,Healthcare,48400.45,814807,14219,751,71632.666,0.48
226,Email Marketing,North America,Finance,9967.76,549376,4431,829,12160.6672,0.22
227,Influencer Marketing,South America,Healthcare,2079.72,329759,10395,682,4533.7896,2.1410351552038502
228,Billboards,Europe,Automotive,36280.39,382282,2042,522,50066.9382,0.38
229,Social Media Ads,Asia,Healthcare,21481.51,710406,16675,1781,21266.6949,-0.01
230,Influencer Marketing,North America,Automotive,5353.17,282158,13504,958,9475.1109,1.2921606577852893
231,Billboards,Africa,Tech,34503.95,729785,961,1221,61762.070499999994,0.79
232,Search Engine Ads,Europe,Tech,27710.17,406489,9375,939,55697.44169999999,1.01
233,Search Engine Ads,South America,Healthcare,49045.32,712495,17133,1549,59344.837199999994,0.21
234,Search Engine Ads,Oceania,Healthcare,12143.07,374986,4234,922,18821.7585,0.55
235,Search Engine Ads,Europe,Automotive,20794.92,958385,11903,653,26617.4976,0.28
236,Search Engine Ads,North America,Finance,27584.74,500238,15508,436,25929.6556,-0.06
237,Billboards,South America,Automotive,39793.3,88077,17520,511,91126.657,1.29
238,Billboards,Asia,Finance,27893.09,149784,16451,739,56901.9036,1.04
239,TV Commercials,Europe,Tech,31032.11,215776,4231,1293,40652.0641,0.19053101107352832
240,Content Marketing,North America,Retail,12081.21,325018,18632,1546,21987.8022,0.82
241,Email Marketing,Africa,Healthcare,42499.02,79087,12157,80,48448.88279999999,0.14
242,Radio Ads,Oceania,Finance,22002.9,808729,11449,487,50826.69900000001,1.31
243,Search Engine Ads,South America,Automotive,7907.02,774629,11586,1211,7907.02,0.0
244,Social Media Ads,Europe,Tech,33545.21,823560,5557,466,27171.6201,-0.19
245,Radio Ads,Europe,Finance,11588.43,602656,6179,198,19120.909499999998,0.65
246,Billboards,Asia,Automotive,5780.56,753859,12553,300,10347.2024,0.79
247,Social Media Ads,Asia,Healthcare,43237.36,351102,18914,1553,76962.50080000001,0.78
248,Social Media Ads,Africa,Healthcare,23547.95,305064,18363,1798,20957.6755,-0.11
249,Social Media Ads,Oceania,Education,37714.9,261514,12258,929,50160.817,0.33
250,TV Commercials,Africa,Retail,15238.79,938660,15835,301,25144.0035,0.41852689386516934
251,Billboards,North America,Education,39561.54,152180,15930,1979,46287.0018,0.17
252,Social Media Ads,North America,Tech,6484.86,959349,15225,765,14785.480799999998,1.28
253,Search Engine Ads,Africa,Finance,18442.7,930304,12005,1668,17520.565,-0.05
254,Influencer Marketing,Oceania,Tech,48925.03,794192,12398,1844,79747.7989,1.2164906719399795
255,Social Media Ads,Africa,Automotive,39905.5,445928,2111,1316,79012.89,0.98
256,TV Commercials,Oceania,Healthcare,25365.54,930114,3473,1577,31453.2696,0.12177623672691507
257,Radio Ads,Oceania,Education,17649.1,611891,10435,1879,32827.326,0.86
258,Billboards,South America,Education,43734.65,43872,10792,386,96653.5765,1.21
259,Content Marketing,Oceania,Education,27697.54,282872,14627,1691,31021.244800000004,0.12
260,TV Commercials,Asia,Tech,38162.83,367246,12873,1189,90064.2788,1.0863654088330856
261,Social Media Ads,Oceania,Healthcare,37951.28,498535,1389,517,66035.2272,0.74
262,Billboards,Oceania,Finance,1879.34,394193,1547,1446,2461.9354,0.31
263,Influencer Marketing,Oceania,Automotive,7186.44,817015,19683,537,10995.2532,0.9956551167157219
264,Social Media Ads,North America,Finance,33321.84,95774,19667,1388,44318.0472,0.33
265,TV Commercials,Asia,Tech,8919.37,934767,14239,568,18106.3211,0.5789004818976405
266,Email Marketing,Asia,Automotive,13519.17,398518,13857,1796,29066.2155,1.15
267,Search Engine Ads,Africa,Education,47385.26,208522,5562,1220,105195.27720000001,1.22
268,Content Marketing,South America,Retail,28448.93,230357,19700,1064,70553.3464,1.48
269,Radio Ads,Oceania,Tech,37785.75,422672,19620,269,81239.3625,1.15
270,TV Commercials,Europe,Tech,28341.06,887550,19802,430,51580.7292,0.48366660008782664
271,Billboards,South America,Healthcare,28073.17,75942,19266,1562,38740.974599999994,0.38
272,Content Marketing,South America,Finance,5613.44,547977,7757,1584,9711.251199999999,0.73
273,Content Marketing,Asia,Tech,17839.5,960438,5020,313,15520.365,-0.13
274,Content Marketing,South America,Tech,14839.11,567564,10445,951,30716.9577,1.07
275,Social Media Ads,Oceania,Education,20145.69,519565,8517,1977,31427.2764,0.56
276,Search Engine Ads,Oceania,Education,40118.87,532552,17260,1072,33298.6621,-0.17
277,Social Media Ads,North America,Automotive,19224.7,636256,5308,1522,17494.477000000003,-0.09
278,Billboards,Oceania,Retail,23133.14,423089,787,1677,33774.384399999995,0.46
279,Social Media Ads,Oceania,Healthcare,20471.69,809482,17013,551,36644.3251,0.79
280,Email Marketing,Asia,Retail,5576.99,600504,13323,1703,8867.4141,0.59
281,Search Engine Ads,Oceania,Automotive,22612.54,749804,8180,1311,41833.199,0.85
282,Search Engine Ads,North America,Education,10584.85,356184,18637,1236,17147.457000000002,0.62
283,Billboards,Europe,Finance,10149.44,555932,9586,1099,19486.9248,0.92
284,Radio Ads,Asia,Education,5607.77,72021,6194,117,6561.0909,0.17
285,Email Marketing,Europe,Healthcare,18476.88,702485,7792,277,18292.1112,-0.01
286,TV Commercials,Asia,Education,38116.61,470115,11188,231,68991.0641,0.4388504683060232
287,Social Media Ads,Africa,Healthcare,14545.64,52291,3203,1837,23563.9368,0.62
288,Influencer Marketing,South America,Healthcare,16305.11,438276,2540,1563,13859.3435,-0.2903003601160741
289,Social Media Ads,Africa,Healthcare,32491.06,404754,7224,1123,47112.037000000004,0.45
290,Content Marketing,Oceania,Automotive,10596.2,963680,17328,702,10384.276,-0.02
291,Social Media Ads,Europe,Healthcare,44950.94,313664,14131,264,76416.598,0.7
292,TV Commercials,Oceania,Healthcare,26489.34,35675,14636,1488,38939.3298,0.28314718633179037
293,Social Media Ads,South America,Finance,22932.54,683647,546,262,42195.873600000006,0.84
294,Email Marketing,Asia,Retail,28333.19,272318,4015,266,61483.0223,1.17
295,Email Marketing,South America,Tech,9135.68,102268,15887,392,11967.740800000001,0.31
296,Search Engine Ads,North America,Retail,31060.18,307142,19593,451,75786.8392,1.44
297,Billboards,South America,Healthcare,18791.94,718672,17718,1891,32134.217399999998,0.71
298,Radio Ads,North America,Finance,44962.13,939616,6687,608,83179.9405,0.85
299,Influencer Marketing,South America,Education,9273.86,639698,326,1123,18176.765600000002,1.5804072097636948
300,Content Marketing,North America,Finance,25845.5,347369,11251,1782,49881.814999999995,0.93
301,Social Media Ads,Europe,Healthcare,30307.52,841246,5658,399,50613.5584,0.67
302,Social Media Ads,Oceania,Finance,2635.8,357235,12071,591,4032.7740000000003,0.53
303,TV Commercials,Oceania,Finance,18820.96,322863,286,1077,16750.6544,-0.08684264384956025
304,Billboards,Africa,Healthcare,36899.13,139887,14780,1745,30995.269199999995,-0.16
305,Email Marketing,Oceania,Automotive,41198.5,306063,14659,1697,58089.884999999995,0.41
306,Influencer Marketing,Asia,Finance,16344.94,345299,11169,607,22392.5678,0.6884077098812318
307,Search Engine Ads,South America,Tech,40131.07,343713,2635,28,58591.362199999996,0.46
308,Email Marketing,Africa,Tech,48420.04,837760,2032,1134,50356.8416,0.04
309,Content Marketing,Asia,Finance,42986.82,211554,2132,1947,88122.98099999999,1.05
310,Billboards,Asia,Automotive,6764.56,821050,1352,616,15287.9056,1.26
311,Content Marketing,North America,Education,37246.79,568963,5609,1799,89392.296,1.4
312,Radio Ads,Oceania,Healthcare,16663.67,505010,5174,1390,27328.418799999996,0.64
313,Search Engine Ads,Europe,Tech,49432.38,815351,14000,1575,98370.4362,0.99
314,Radio Ads,Europe,Education,24782.59,800605,14623,1794,55760.8275,1.25
315,TV Commercials,Africa,Finance,6999.26,381513,1981,1971,10568.8826,0.400857404946747
316,Content Marketing,Europe,Education,36534.09,822832,369,42,48590.3397,0.33
317,TV Commercials,South America,Retail,16827.55,191517,1730,1262,40217.8445,0.9926155098681869
318,Social Media Ads,Europe,Tech,49856.83,80305,18058,1557,83759.4744,0.68
319,Radio Ads,Africa,Finance,49009.34,702924,13483,1663,80865.411,0.65
320,Billboards,Europe,Healthcare,33150.57,449030,16252,871,36465.627,0.1
321,Content Marketing,South America,Automotive,7361.5,482963,11184,164,7214.2699999999995,-0.02
322,Influencer Marketing,North America,Finance,34656.19,623079,1795,1456,77283.3037,2.2790418163877457
323,Search Engine Ads,Africa,Healthcare,5558.49,169034,19742,914,10227.6216,0.84
